site_spp_slug,site_slug,commonName,scientificName,spp_slug,spring,summer,fall,winter,season
rachel-carson-reserve-spizella-passerina,rachel-carson-reserve,Chipping Sparrow,Spizella passerina,spizella-passerina,0,0,2,2,0022
rachel-carson-reserve-spizella-pusilla,rachel-carson-reserve,Field Sparrow,Spizella pusilla,spizella-pusilla,0,0,2,2,0022
rachel-carson-reserve-passerina-cyanea,rachel-carson-reserve,Indigo Bunting,Passerina cyanea,passerina-cyanea,2,0,3,3,2033
rachel-carson-reserve-passerculus-sandwichensis,rachel-carson-reserve,Savannah Sparrow,Passerculus sandwichensis,passerculus-sandwichensis,4,0,4,5,4045
rachel-carson-reserve-ammodramus-caudacutus,rachel-carson-reserve,Saltmarsh Sharp-tailed Sparrow,Ammodramus caudacutus,ammodramus-caudacutus,4,0,4,5,4045
rachel-carson-reserve-ammodramus-nelsoni,rachel-carson-reserve,Nelson's Sharp-tailed Sparrow,Ammodramus nelsoni,ammodramus-nelsoni,4,0,5,5,4055
rachel-carson-reserve-ammodramus-maritimus,rachel-carson-reserve,Seaside Sparrow,Ammodramus maritimus,ammodramus-maritimus,2,2,4,3,2243
rachel-carson-reserve-passerella-iliaca,rachel-carson-reserve,Fox Sparrow,Passerella iliaca,passerella-iliaca,0,0,0,2,0002
rachel-carson-reserve-melospiza-melodia,rachel-carson-reserve,Song Sparrow,Melospiza melodia,melospiza-melodia,3,0,4,5,3045
rachel-carson-reserve-melospiza-georgiana,rachel-carson-reserve,Swamp Sparrow,Melospiza georgiana,melospiza-georgiana,4,0,4,5,4045
rachel-carson-reserve-zonotrichia-albicollis,rachel-carson-reserve,White-throated Sparrow,Zonotrichia albicollis,zonotrichia-albicollis,4,0,3,4,4034
rachel-carson-reserve-zonotrichia-leucophrys,rachel-carson-reserve,White-crowned Sparrow,Zonotrichia leucophrys,zonotrichia-leucophrys,0,0,2,0,0020
rachel-carson-reserve-junco-hyemalis,rachel-carson-reserve,Dark-eyed Junco,Junco hyemalis,junco-hyemalis,0,0,2,2,0022
