rachel-carson-national-estuarine-research-reserve-falco-sparverius,rachel-carson-national-estuarine-research-reserve,American Kestrel,Falco sparverius,falco-sparverius,3,0,2,2,3022
rachel-carson-national-estuarine-research-reserve-fulica-americana,rachel-carson-national-estuarine-research-reserve,American Coot,Fulica americana,fulica-americana,0,0,3,3,33
rachel-carson-national-estuarine-research-reserve-gallinago-delicata,rachel-carson-national-estuarine-research-reserve,Wilson's Snipe,Gallinago delicata,gallinago-delicata,3,0,3,3,3033
rachel-carson-national-estuarine-research-reserve-gavia-immer,rachel-carson-national-estuarine-research-reserve,Common Loon,Gavia immer,gavia-immer,4,3,2,5,4325
rachel-carson-national-estuarine-research-reserve-gavia-stellata,rachel-carson-national-estuarine-research-reserve,Red-throated Loon,Gavia stellata,gavia-stellata,3,0,0,2,3002
rachel-carson-national-estuarine-research-reserve-gelochelidon-nilotica,rachel-carson-national-estuarine-research-reserve,Gull-billed Tern,Gelochelidon nilotica,gelochelidon-nilotica,2,4,3,0,2430
rachel-carson-national-estuarine-research-reserve-geothlypis-trichas,rachel-carson-national-estuarine-research-reserve,Common Yellowthroat,Geothlypis trichas,geothlypis-trichas,3,3,4,3,3343
rachel-carson-national-estuarine-research-reserve-haematopus-palliatus,rachel-carson-national-estuarine-research-reserve,American Oystercatcher,Haematopus palliatus,haematopus-palliatus,5,5,5,5,5555
rachel-carson-national-estuarine-research-reserve-haliaeetus-leucocephalus,rachel-carson-national-estuarine-research-reserve,Bald Eagle,Haliaeetus leucocephalus,haliaeetus-leucocephalus,3,3,3,3,3333
rachel-carson-national-estuarine-research-reserve-hirundo-rustica,rachel-carson-national-estuarine-research-reserve,Barn Swallow,Hirundo rustica,hirundo-rustica,5,5,4,0,5540
rachel-carson-national-estuarine-research-reserve-hydroprogne-caspia,rachel-carson-national-estuarine-research-reserve,Caspian Tern,Hydroprogne caspia,hydroprogne-caspia,1,2,4,0,1240
rachel-carson-national-estuarine-research-reserve-icteria-virens,rachel-carson-national-estuarine-research-reserve,Yellow-breasted Chat,Icteria virens,icteria-virens,3,3,3,0,3330
rachel-carson-national-estuarine-research-reserve-icterus-galbula,rachel-carson-national-estuarine-research-reserve,Baltimore Oriole,Icterus galbula,icterus-galbula,0,0,3,0,30
rachel-carson-national-estuarine-research-reserve-icterus-spurius,rachel-carson-national-estuarine-research-reserve,Orchard Oriole,Icterus spurius,icterus-spurius,4,4,0,0,4400
