site_spp_slug,site_slug,commonName,scientificName,spp_slug,spring,summer,fall,winter,season,aou,bnc
brevard-hike-and-bike-path-including-hospital-fields-icterus-spurius,brevard-hike-and-bike-path-including-hospital-fields,Orchard Oriole,Icterus spurius,icterus-spurius,3,3,0,0,3300,1804,539
brevard-hike-and-bike-path-including-hospital-fields-junco-hyemalis,brevard-hike-and-bike-path-including-hospital-fields,Dark-eyed Junco,Junco hyemalis,junco-hyemalis,4,0,4,4,4044,1730,523
brevard-hike-and-bike-path-including-hospital-fields-megascops-asio,brevard-hike-and-bike-path-including-hospital-fields,Eastern Screech-Owl,Megascops asio,megascops-asio,2,2,2,2,2222,669,334
brevard-hike-and-bike-path-including-hospital-fields-melanerpes-carolinus,brevard-hike-and-bike-path-including-hospital-fields,Red-bellied Woodpecker,Melanerpes carolinus,melanerpes-carolinus,5,5,5,5,5555,953,355
brevard-hike-and-bike-path-including-hospital-fields-meleagris-gallopavo,brevard-hike-and-bike-path-including-hospital-fields,Wild Turkey,Meleagris gallopavo,meleagris-gallopavo,4,4,4,4,4444,110,215
brevard-hike-and-bike-path-including-hospital-fields-melospiza-georgiana,brevard-hike-and-bike-path-including-hospital-fields,Swamp Sparrow,Melospiza georgiana,melospiza-georgiana,2,0,2,2,2022,1724,519
brevard-hike-and-bike-path-including-hospital-fields-melospiza-melodia,brevard-hike-and-bike-path-including-hospital-fields,Song Sparrow,Melospiza melodia,melospiza-melodia,5,5,5,5,5555,1722,517
brevard-hike-and-bike-path-including-hospital-fields-mimus-polyglottos,brevard-hike-and-bike-path-including-hospital-fields,Northern Mockingbird,Mimus polyglottos,mimus-polyglottos,5,5,5,5,5555,1487,423
brevard-hike-and-bike-path-including-hospital-fields-mniotilta-varia,brevard-hike-and-bike-path-including-hospital-fields,Black-and-white Warbler,Mniotilta varia,mniotilta-varia,4,2,5,0,4250,1575,469
brevard-hike-and-bike-path-including-hospital-fields-molothrus-ater,brevard-hike-and-bike-path-including-hospital-fields,Brown-headed Cowbird,Molothrus ater,molothrus-ater,4,4,4,2,4442,1795,538
brevard-hike-and-bike-path-including-hospital-fields-myiarchus-crinitus,brevard-hike-and-bike-path-including-hospital-fields,Great Crested Flycatcher,Myiarchus crinitus,myiarchus-crinitus,4,4,4,0,4440,1169,375
brevard-hike-and-bike-path-including-hospital-fields-geothlypis-formosa,brevard-hike-and-bike-path-including-hospital-fields,Kentucky Warbler,Geothlypis formosa,geothlypis-formosa,2,2,2,0,2220,1583,477
brevard-hike-and-bike-path-including-hospital-fields-pandion-haliaetus,brevard-hike-and-bike-path-including-hospital-fields,Osprey,Pandion haliaetus,pandion-haliaetus,3,0,3,0,3030,2005,194
