site_spp_slug,site_slug,commonName,scientificName,spp_slug,spring,summer,fall,winter,season,aou,bnc
sylvan-heights-bird-park-seiurus-aurocapilla,sylvan-heights-bird-park,Ovenbird,Seiurus aurocapilla,seiurus-aurocapilla,4,2,3,0,4230,1580,474
sylvan-heights-bird-park-parkesia-noveboracensis,sylvan-heights-bird-park,Northern Waterthrush,Parkesia noveboracensis,parkesia-noveboracensis,3,3,3,0,3330,1581,475
sylvan-heights-bird-park-setophaga-ruticilla,sylvan-heights-bird-park,American Redstart,Setophaga ruticilla,setophaga-ruticilla,3,3,4,0,3340,1576,470
sylvan-heights-bird-park-sialia-sialis,sylvan-heights-bird-park,Eastern Bluebird,Sialia sialis,sialia-sialis,5,5,5,5,5555,1428,413
sylvan-heights-bird-park-sitta-canadensis,sylvan-heights-bird-park,Red-breasted Nuthatch,Sitta canadensis,sitta-canadensis,3,0,3,3,3033,1347,398
sylvan-heights-bird-park-sitta-carolinensis,sylvan-heights-bird-park,White-breasted Nuthatch,Sitta carolinensis,sitta-carolinensis,5,5,5,5,5555,1348,399
sylvan-heights-bird-park-sitta-pusilla,sylvan-heights-bird-park,Brown-headed Nuthatch,Sitta pusilla,sitta-pusilla,2,2,2,2,2222,1350,400
sylvan-heights-bird-park-sphyrapicus-varius,sylvan-heights-bird-park,Yellow-bellied Sapsucker,Sphyrapicus varius,sphyrapicus-varius,2,0,4,5,2045,956,356
sylvan-heights-bird-park-spizella-passerina,sylvan-heights-bird-park,Chipping Sparrow,Spizella passerina,spizella-passerina,5,5,5,5,5555,1705,502
sylvan-heights-bird-park-spizella-pusilla,sylvan-heights-bird-park,Field Sparrow,Spizella pusilla,spizella-pusilla,2,0,2,4,2024,1707,504
sylvan-heights-bird-park-stelgidopteryx-serripennis,sylvan-heights-bird-park,Northern Rough-winged Swallow,Stelgidopteryx serripennis,stelgidopteryx-serripennis,2,2,3,0,2230,1326,385
sylvan-heights-bird-park-strix-varia,sylvan-heights-bird-park,Barred Owl,Strix varia,strix-varia,3,3,3,3,3333,696,338
sylvan-heights-bird-park-sturnella-magna,sylvan-heights-bird-park,Eastern Meadowlark,Sturnella magna,sturnella-magna,2,2,2,2,2222,1779,530
sylvan-heights-bird-park-sturnus-vulgaris,sylvan-heights-bird-park,European Starling,Sturnus vulgaris,sturnus-vulgaris,5,5,5,5,5555,1509,434
sylvan-heights-bird-park-tachycineta-bicolor,sylvan-heights-bird-park,Tree Swallow,Tachycineta bicolor,tachycineta-bicolor,3,0,3,0,3030,1318,384
sylvan-heights-bird-park-thryothorus-ludovicianus,sylvan-heights-bird-park,Carolina Wren,Thryothorus ludovicianus,thryothorus-ludovicianus,5,5,5,5,5555,1378,402
sylvan-heights-bird-park-toxostoma-rufum,sylvan-heights-bird-park,Brown Thrasher,Toxostoma rufum,toxostoma-rufum,5,5,5,5,5555,1492,425
sylvan-heights-bird-park-troglodytes-aedon,sylvan-heights-bird-park,House Wren,Troglodytes aedon,troglodytes-aedon,4,3,4,2,4342,1384,405
sylvan-heights-bird-park-troglodytes-hiemalis,sylvan-heights-bird-park,Winter Wren,Troglodytes hiemalis,troglodytes-hiemalis,2,0,4,5,2045,2066,406
sylvan-heights-bird-park-turdus-migratorius,sylvan-heights-bird-park,American Robin,Turdus migratorius,turdus-migratorius,5,5,5,5,5555,1472,421
sylvan-heights-bird-park-tyrannus-tyrannus,sylvan-heights-bird-park,Eastern Kingbird,Tyrannus tyrannus,tyrannus-tyrannus,4,4,2,0,4420,1196,378
sylvan-heights-bird-park-oreothlypis-celata,sylvan-heights-bird-park,Orange-crowned Warbler,Oreothlypis celata,oreothlypis-celata,3,0,3,3,3033,1536,447
sylvan-heights-bird-park-oreothlypis-peregrina,sylvan-heights-bird-park,Tennessee Warbler,Oreothlypis peregrina,oreothlypis-peregrina,0,0,3,0,0030,1535,446
sylvan-heights-bird-park-oreothlypis-ruficapilla,sylvan-heights-bird-park,Nashville Warbler,Oreothlypis ruficapilla,oreothlypis-ruficapilla,0,0,3,0,0030,1537,448
sylvan-heights-bird-park-vireo-flavifrons,sylvan-heights-bird-park,Yellow-throated Vireo,Vireo flavifrons,vireo-flavifrons,4,5,2,0,4520,1247,438
sylvan-heights-bird-park-vireo-griseus,sylvan-heights-bird-park,White-eyed Vireo,Vireo griseus,vireo-griseus,4,2,3,0,4230,1233,435
sylvan-heights-bird-park-vireo-olivaceus,sylvan-heights-bird-park,Red-eyed Vireo,Vireo olivaceus,vireo-olivaceus,4,5,4,0,4540,1257,441
sylvan-heights-bird-park-vireo-solitarius,sylvan-heights-bird-park,Blue-headed Vireo,Vireo solitarius,vireo-solitarius,3,0,3,3,3033,1250,437
sylvan-heights-bird-park-setophaga-citrina,sylvan-heights-bird-park,Hooded Warbler,Setophaga citrina,setophaga-citrina,4,2,3,0,4230,1600,481
sylvan-heights-bird-park-zenaida-macroura,sylvan-heights-bird-park,Mourning Dove,Zenaida macroura,zenaida-macroura,5,5,5,5,5555,556,322
sylvan-heights-bird-park-zonotrichia-albicollis,sylvan-heights-bird-park,White-throated Sparrow,Zonotrichia albicollis,zonotrichia-albicollis,5,0,4,5,5045,1726,520
turnbull-creek-educational-state-forest-accipiter-cooperii,turnbull-creek-educational-state-forest,Cooper's Hawk,Accipiter cooperii,accipiter-cooperii,3,3,2,2,3322,279,201
turnbull-creek-educational-state-forest-accipiter-striatus,turnbull-creek-educational-state-forest,Sharp-shinned Hawk,Accipiter striatus,accipiter-striatus,2,0,4,4,2044,278,200
turnbull-creek-educational-state-forest-actitis-macularius,turnbull-creek-educational-state-forest,Spotted Sandpiper,Actitis macularius,actitis-macularius,3,3,3,0,3330,397,244
turnbull-creek-educational-state-forest-agelaius-phoeniceus,turnbull-creek-educational-state-forest,Red-winged Blackbird,Agelaius phoeniceus,agelaius-phoeniceus,4,2,4,5,4245,1772,529
turnbull-creek-educational-state-forest-aix-sponsa,turnbull-creek-educational-state-forest,Wood Duck,Aix sponsa,aix-sponsa,2,2,2,2,2222,31,162
turnbull-creek-educational-state-forest-anas-americana,turnbull-creek-educational-state-forest,American Wigeon,Anas americana,anas-americana,3,0,2,2,3022,35,173
turnbull-creek-educational-state-forest-anas-crecca,turnbull-creek-educational-state-forest,Green-winged Teal,Anas crecca,anas-crecca,2,0,2,2,2022,49,163
turnbull-creek-educational-state-forest-anas-platyrhynchos,turnbull-creek-educational-state-forest,Mallard,Anas platyrhynchos,anas-platyrhynchos,2,0,2,4,2024,37,165
turnbull-creek-educational-state-forest-anas-rubripes,turnbull-creek-educational-state-forest,American Black Duck,Anas rubripes,anas-rubripes,3,0,2,2,3022,36,164
turnbull-creek-educational-state-forest-anhinga-anhinga,turnbull-creek-educational-state-forest,Anhinga,Anhinga anhinga,anhinga-anhinga,3,3,3,3,3333,213,132
turnbull-creek-educational-state-forest-archilochus-colubris,turnbull-creek-educational-state-forest,Ruby-throated Hummingbird,Archilochus colubris,archilochus-colubris,4,4,3,0,4430,864,349
turnbull-creek-educational-state-forest-ardea-alba,turnbull-creek-educational-state-forest,Great Egret,Ardea alba,ardea-alba,0,3,0,0,0300,227,138
turnbull-creek-educational-state-forest-ardea-herodias,turnbull-creek-educational-state-forest,Great Blue Heron,Ardea herodias,ardea-herodias,4,4,4,4,4444,224,136
turnbull-creek-educational-state-forest-aythya-affinis,turnbull-creek-educational-state-forest,Lesser Scaup,Aythya affinis,aythya-affinis,2,0,2,4,2024,56,178
turnbull-creek-educational-state-forest-aythya-americana,turnbull-creek-educational-state-forest,Redhead,Aythya americana,aythya-americana,0,0,0,1,0001,51,175
turnbull-creek-educational-state-forest-aythya-collaris,turnbull-creek-educational-state-forest,Ring-necked Duck,Aythya collaris,aythya-collaris,2,0,4,5,2045,53,176
turnbull-creek-educational-state-forest-baeolophus-bicolor,turnbull-creek-educational-state-forest,Tufted Titmouse,Baeolophus bicolor,baeolophus-bicolor,5,5,5,5,5555,1343,397
turnbull-creek-educational-state-forest-bombycilla-cedrorum,turnbull-creek-educational-state-forest,Cedar Waxwing,Bombycilla cedrorum,bombycilla-cedrorum,4,1,2,4,4124,1525,429
turnbull-creek-educational-state-forest-branta-canadensis,turnbull-creek-educational-state-forest,Canada Goose,Branta canadensis,branta-canadensis,0,0,3,3,0033,22,161
turnbull-creek-educational-state-forest-bubo-virginianus,turnbull-creek-educational-state-forest,Great Horned Owl,Bubo virginianus,bubo-virginianus,2,2,4,4,2244,681,335
turnbull-creek-educational-state-forest-bucephala-albeola,turnbull-creek-educational-state-forest,Bufflehead,Bucephala albeola,bucephala-albeola,0,0,3,3,0033,67,188
turnbull-creek-educational-state-forest-buteo-jamaicensis,turnbull-creek-educational-state-forest,Red-tailed Hawk,Buteo jamaicensis,buteo-jamaicensis,2,2,4,4,2244,305,206
turnbull-creek-educational-state-forest-buteo-lineatus,turnbull-creek-educational-state-forest,Red-shouldered Hawk,Buteo lineatus,buteo-lineatus,4,4,4,4,4444,296,203
turnbull-creek-educational-state-forest-buteo-platypterus,turnbull-creek-educational-state-forest,Broad-winged Hawk,Buteo platypterus,buteo-platypterus,3,3,3,0,3330,298,204
turnbull-creek-educational-state-forest-butorides-virescens,turnbull-creek-educational-state-forest,Green Heron,Butorides virescens,butorides-virescens,2,2,3,0,2230,238,144
turnbull-creek-educational-state-forest-antrostomus-carolinensis,turnbull-creek-educational-state-forest,Chuck-will's-widow,Antrostomus carolinensis,antrostomus-carolinensis,4,4,3,0,4430,718,345
turnbull-creek-educational-state-forest-antrostomus-vociferus,turnbull-creek-educational-state-forest,Eastern Whip-poor-will,Antrostomus vociferus,antrostomus-vociferus,2,2,3,0,2230,724,346
turnbull-creek-educational-state-forest-cardinalis-cardinalis,turnbull-creek-educational-state-forest,Northern Cardinal,Cardinalis cardinalis,cardinalis-cardinalis,5,5,5,5,5555,1755,488
turnbull-creek-educational-state-forest-spinus-pinus,turnbull-creek-educational-state-forest,Pine Siskin,Spinus pinus,spinus-pinus,1,0,1,1,1011,1860,549
turnbull-creek-educational-state-forest-spinus-tristis,turnbull-creek-educational-state-forest,American Goldfinch,Spinus tristis,spinus-tristis,4,3,2,4,4324,1868,551
turnbull-creek-educational-state-forest-haemorhous-mexicanus,turnbull-creek-educational-state-forest,House Finch,Haemorhous mexicanus,haemorhous-mexicanus,4,4,4,4,4444,10371,544
turnbull-creek-educational-state-forest-haemorhous-purpureus,turnbull-creek-educational-state-forest,Purple Finch,Haemorhous purpureus,haemorhous-purpureus,1,0,1,1,1011,10351,543
turnbull-creek-educational-state-forest-cathartes-aura,turnbull-creek-educational-state-forest,Turkey Vulture,Cathartes aura,cathartes-aura,5,5,5,5,5555,256,153
turnbull-creek-educational-state-forest-catharus-fuscescens,turnbull-creek-educational-state-forest,Veery,Catharus fuscescens,catharus-fuscescens,3,0,3,0,3030,1450,415
turnbull-creek-educational-state-forest-catharus-guttatus,turnbull-creek-educational-state-forest,Hermit Thrush,Catharus guttatus,catharus-guttatus,4,0,4,5,4045,1454,418
turnbull-creek-educational-state-forest-catharus-minimus,turnbull-creek-educational-state-forest,Gray-cheeked Thrush,Catharus minimus,catharus-minimus,0,0,3,0,0030,1451,416
turnbull-creek-educational-state-forest-catharus-ustulatus,turnbull-creek-educational-state-forest,Swainson's Thrush,Catharus ustulatus,catharus-ustulatus,3,0,3,0,3030,1453,417
turnbull-creek-educational-state-forest-certhia-americana,turnbull-creek-educational-state-forest,Brown Creeper,Certhia americana,certhia-americana,2,0,2,4,2024,1351,401
turnbull-creek-educational-state-forest-megaceryle-alcyon,turnbull-creek-educational-state-forest,Belted Kingfisher,Megaceryle alcyon,megaceryle-alcyon,4,4,5,5,4455,912,353
turnbull-creek-educational-state-forest-chaetura-pelagica,turnbull-creek-educational-state-forest,Chimney Swift,Chaetura pelagica,chaetura-pelagica,4,5,2,0,4520,741,347
turnbull-creek-educational-state-forest-charadrius-vociferus,turnbull-creek-educational-state-forest,Killdeer,Charadrius vociferus,charadrius-vociferus,2,2,2,2,2222,384,235
turnbull-creek-educational-state-forest-chlidonias-niger,turnbull-creek-educational-state-forest,Black Tern,Chlidonias niger,chlidonias-niger,0,3,0,0,0300,497,310
turnbull-creek-educational-state-forest-chordeiles-minor,turnbull-creek-educational-state-forest,Common Nighthawk,Chordeiles minor,chordeiles-minor,3,3,3,0,3330,709,343
turnbull-creek-educational-state-forest-coccothraustes-vespertinus,turnbull-creek-educational-state-forest,Evening Grosbeak,Coccothraustes vespertinus,coccothraustes-vespertinus,1,0,0,1,1001,1875,552
turnbull-creek-educational-state-forest-coccyzus-americanus,turnbull-creek-educational-state-forest,Yellow-billed Cuckoo,Coccyzus americanus,coccyzus-americanus,4,5,2,0,4520,644,330
turnbull-creek-educational-state-forest-colaptes-auratus,turnbull-creek-educational-state-forest,Northern Flicker,Colaptes auratus,colaptes-auratus,5,5,5,5,5555,979,361
turnbull-creek-educational-state-forest-colinus-virginianus,turnbull-creek-educational-state-forest,Northern Bobwhite,Colinus virginianus,colinus-virginianus,2,4,2,2,2422,122,216
turnbull-creek-educational-state-forest-columba-livia,turnbull-creek-educational-state-forest,Rock Pigeon,Columba livia,columba-livia,3,3,3,3,3333,536,319
turnbull-creek-educational-state-forest-contopus-virens,turnbull-creek-educational-state-forest,Eastern Wood-Pewee,Contopus virens,contopus-virens,4,5,2,0,4520,1132,365
turnbull-creek-educational-state-forest-coragyps-atratus,turnbull-creek-educational-state-forest,Black Vulture,Coragyps atratus,coragyps-atratus,4,4,4,4,4444,255,152
turnbull-creek-educational-state-forest-corvus-brachyrhynchos,turnbull-creek-educational-state-forest,American Crow,Corvus brachyrhynchos,corvus-brachyrhynchos,5,5,5,5,5555,1296,391
turnbull-creek-educational-state-forest-corvus-ossifragus,turnbull-creek-educational-state-forest,Fish Crow,Corvus ossifragus,corvus-ossifragus,5,5,2,2,5522,1304,392
turnbull-creek-educational-state-forest-cyanocitta-cristata,turnbull-creek-educational-state-forest,Blue Jay,Cyanocitta cristata,cyanocitta-cristata,5,5,5,5,5555,1270,390
turnbull-creek-educational-state-forest-setophaga-caerulescens,turnbull-creek-educational-state-forest,Black-throated Blue Warbler,Setophaga caerulescens,setophaga-caerulescens,3,0,2,0,3020,1549,454
turnbull-creek-educational-state-forest-setophaga-castanea,turnbull-creek-educational-state-forest,Bay-breasted Warbler,Setophaga castanea,setophaga-castanea,0,0,3,0,0030,1568,466
turnbull-creek-educational-state-forest-setophaga-coronata,turnbull-creek-educational-state-forest,Yellow-rumped Warbler,Setophaga coronata,setophaga-coronata,4,0,4,5,4045,1550,455
turnbull-creek-educational-state-forest-setophaga-discolor,turnbull-creek-educational-state-forest,Prairie Warbler,Setophaga discolor,setophaga-discolor,4,5,2,1,4521,1565,464
turnbull-creek-educational-state-forest-setophaga-dominica,turnbull-creek-educational-state-forest,Yellow-throated Warbler,Setophaga dominica,setophaga-dominica,5,4,2,1,5421,1557,461
turnbull-creek-educational-state-forest-setophaga-magnolia,turnbull-creek-educational-state-forest,Magnolia Warbler,Setophaga magnolia,setophaga-magnolia,0,0,2,0,0020,1547,452
turnbull-creek-educational-state-forest-setophaga-palmarum,turnbull-creek-educational-state-forest,Palm Warbler,Setophaga palmarum,setophaga-palmarum,2,0,4,3,2043,1567,465
turnbull-creek-educational-state-forest-setophaga-petechia,turnbull-creek-educational-state-forest,Yellow Warbler,Setophaga petechia,setophaga-petechia,3,3,3,0,3330,1545,450
turnbull-creek-educational-state-forest-setophaga-pinus,turnbull-creek-educational-state-forest,Pine Warbler,Setophaga pinus,setophaga-pinus,5,5,5,5,5555,1563,462
turnbull-creek-educational-state-forest-setophaga-striata,turnbull-creek-educational-state-forest,Blackpoll Warbler,Setophaga striata,setophaga-striata,3,0,3,0,3030,1569,467
turnbull-creek-educational-state-forest-setophaga-tigrina,turnbull-creek-educational-state-forest,Cape May Warbler,Setophaga tigrina,setophaga-tigrina,0,0,3,0,0030,1548,453
turnbull-creek-educational-state-forest-setophaga-virens,turnbull-creek-educational-state-forest,Black-throated Green Warbler,Setophaga virens,setophaga-virens,4,2,3,0,4230,1553,458
turnbull-creek-educational-state-forest-dryocopus-pileatus,turnbull-creek-educational-state-forest,Pileated Woodpecker,Dryocopus pileatus,dryocopus-pileatus,4,4,4,4,4444,985,362
turnbull-creek-educational-state-forest-dumetella-carolinensis,turnbull-creek-educational-state-forest,Gray Catbird,Dumetella carolinensis,dumetella-carolinensis,5,5,5,5,5555,1485,422
turnbull-creek-educational-state-forest-egretta-caerulea,turnbull-creek-educational-state-forest,Little Blue Heron,Egretta caerulea,egretta-caerulea,0,3,0,0,0300,233,140
turnbull-creek-educational-state-forest-elanoides-forficatus,turnbull-creek-educational-state-forest,Swallow-tailed Kite,Elanoides forficatus,elanoides-forficatus,1,1,0,0,1100,262,195
turnbull-creek-educational-state-forest-empidonax-virescens,turnbull-creek-educational-state-forest,Acadian Flycatcher,Empidonax virescens,empidonax-virescens,4,5,3,0,4530,1139,367
turnbull-creek-educational-state-forest-eudocimus-albus,turnbull-creek-educational-state-forest,White Ibis,Eudocimus albus,eudocimus-albus,0,3,0,0,0300,245,147
turnbull-creek-educational-state-forest-euphagus-carolinus,turnbull-creek-educational-state-forest,Rusty Blackbird,Euphagus carolinus,euphagus-carolinus,3,0,3,3,3033,1784,533
turnbull-creek-educational-state-forest-falco-sparverius,turnbull-creek-educational-state-forest,American Kestrel,Falco sparverius,falco-sparverius,2,1,4,4,2144,323,209
turnbull-creek-educational-state-forest-fulica-americana,turnbull-creek-educational-state-forest,American Coot,Fulica americana,fulica-americana,3,0,3,3,3033,360,225
turnbull-creek-educational-state-forest-gavia-immer,turnbull-creek-educational-state-forest,Common Loon,Gavia immer,gavia-immer,3,0,0,3,3003,136,98
turnbull-creek-educational-state-forest-geothlypis-trichas,turnbull-creek-educational-state-forest,Common Yellowthroat,Geothlypis trichas,geothlypis-trichas,5,5,4,2,5542,1587,480
turnbull-creek-educational-state-forest-haliaeetus-leucocephalus,turnbull-creek-educational-state-forest,Bald Eagle,Haliaeetus leucocephalus,haliaeetus-leucocephalus,2,2,2,2,2222,270,198
turnbull-creek-educational-state-forest-helmitheros-vermivorum,turnbull-creek-educational-state-forest,Worm-eating Warbler,Helmitheros vermivorum,helmitheros-vermivorum,4,5,3,0,4530,1578,472
turnbull-creek-educational-state-forest-hirundo-rustica,turnbull-creek-educational-state-forest,Barn Swallow,Hirundo rustica,hirundo-rustica,4,5,2,0,4520,1331,389
turnbull-creek-educational-state-forest-hylocichla-mustelina,turnbull-creek-educational-state-forest,Wood Thrush,Hylocichla mustelina,hylocichla-mustelina,4,4,3,0,4430,1455,420
turnbull-creek-educational-state-forest-icteria-virens,turnbull-creek-educational-state-forest,Yellow-breasted Chat,Icteria virens,icteria-virens,2,2,3,0,2230,1618,484
turnbull-creek-educational-state-forest-icterus-galbula,turnbull-creek-educational-state-forest,Baltimore Oriole,Icterus galbula,icterus-galbula,0,0,3,0,0030,1817,540
turnbull-creek-educational-state-forest-icterus-spurius,turnbull-creek-educational-state-forest,Orchard Oriole,Icterus spurius,icterus-spurius,4,5,3,0,4530,1804,539
turnbull-creek-educational-state-forest-ictinia-mississippiensis,turnbull-creek-educational-state-forest,Mississippi Kite,Ictinia mississippiensis,ictinia-mississippiensis,3,3,0,0,3300,2038,197
turnbull-creek-educational-state-forest-junco-hyemalis,turnbull-creek-educational-state-forest,Dark-eyed Junco,Junco hyemalis,junco-hyemalis,2,0,2,5,2025,1730,523
turnbull-creek-educational-state-forest-larus-argentatus,turnbull-creek-educational-state-forest,Herring Gull,Larus argentatus,larus-argentatus,0,0,3,3,0033,467,289
turnbull-creek-educational-state-forest-larus-delawarensis,turnbull-creek-educational-state-forest,Ring-billed Gull,Larus delawarensis,larus-delawarensis,2,0,2,4,2024,465,287
turnbull-creek-educational-state-forest-chroicocephalus-philadelphia,turnbull-creek-educational-state-forest,Bonaparte's Gull,Chroicocephalus philadelphia,chroicocephalus-philadelphia,3,0,0,3,3003,1993,285
turnbull-creek-educational-state-forest-limnothlypis-swainsonii,turnbull-creek-educational-state-forest,Swainson's Warbler,Limnothlypis swainsonii,limnothlypis-swainsonii,2,2,0,0,2200,1579,473
turnbull-creek-educational-state-forest-lophodytes-cucullatus,turnbull-creek-educational-state-forest,Hooded Merganser,Lophodytes cucullatus,lophodytes-cucullatus,3,0,3,3,3033,71,189
turnbull-creek-educational-state-forest-megascops-asio,turnbull-creek-educational-state-forest,Eastern Screech-Owl,Megascops asio,megascops-asio,4,4,4,4,4444,669,334
turnbull-creek-educational-state-forest-melanerpes-carolinus,turnbull-creek-educational-state-forest,Red-bellied Woodpecker,Melanerpes carolinus,melanerpes-carolinus,5,5,5,5,5555,953,355
turnbull-creek-educational-state-forest-melanerpes-erythrocephalus,turnbull-creek-educational-state-forest,Red-headed Woodpecker,Melanerpes erythrocephalus,melanerpes-erythrocephalus,4,4,2,3,4423,940,354
turnbull-creek-educational-state-forest-meleagris-gallopavo,turnbull-creek-educational-state-forest,Wild Turkey,Meleagris gallopavo,meleagris-gallopavo,2,2,2,2,2222,110,215
turnbull-creek-educational-state-forest-melospiza-georgiana,turnbull-creek-educational-state-forest,Swamp Sparrow,Melospiza georgiana,melospiza-georgiana,4,0,4,5,4045,1724,519
turnbull-creek-educational-state-forest-melospiza-melodia,turnbull-creek-educational-state-forest,Song Sparrow,Melospiza melodia,melospiza-melodia,2,0,4,5,2045,1722,517
turnbull-creek-educational-state-forest-mimus-polyglottos,turnbull-creek-educational-state-forest,Northern Mockingbird,Mimus polyglottos,mimus-polyglottos,5,5,5,5,5555,1487,423
turnbull-creek-educational-state-forest-mniotilta-varia,turnbull-creek-educational-state-forest,Black-and-white Warbler,Mniotilta varia,mniotilta-varia,4,2,4,1,4241,1575,469
turnbull-creek-educational-state-forest-molothrus-ater,turnbull-creek-educational-state-forest,Brown-headed Cowbird,Molothrus ater,molothrus-ater,4,5,2,2,4522,1795,538
turnbull-creek-educational-state-forest-myiarchus-crinitus,turnbull-creek-educational-state-forest,Great Crested Flycatcher,Myiarchus crinitus,myiarchus-crinitus,4,5,2,0,4520,1169,375
turnbull-creek-educational-state-forest-geothlypis-formosa,turnbull-creek-educational-state-forest,Kentucky Warbler,Geothlypis formosa,geothlypis-formosa,2,2,0,0,2200,1583,477
turnbull-creek-educational-state-forest-oxyura-jamaicensis,turnbull-creek-educational-state-forest,Ruddy Duck,Oxyura jamaicensis,oxyura-jamaicensis,2,0,2,4,2024,75,192
turnbull-creek-educational-state-forest-pandion-haliaetus,turnbull-creek-educational-state-forest,Osprey,Pandion haliaetus,pandion-haliaetus,3,3,3,0,3330,2005,194
turnbull-creek-educational-state-forest-setophaga-americana,turnbull-creek-educational-state-forest,Northern Parula,Setophaga americana,setophaga-americana,5,5,2,0,5520,1543,449
turnbull-creek-educational-state-forest-passerculus-sandwichensis,turnbull-creek-educational-state-forest,Savannah Sparrow,Passerculus sandwichensis,passerculus-sandwichensis,0,0,3,0,0030,1715,508
turnbull-creek-educational-state-forest-passer-domesticus,turnbull-creek-educational-state-forest,House Sparrow,Passer domesticus,passer-domesticus,2,2,2,2,2222,1907,553
turnbull-creek-educational-state-forest-passerella-iliaca,turnbull-creek-educational-state-forest,Fox Sparrow,Passerella iliaca,passerella-iliaca,2,0,2,4,2024,1721,516
turnbull-creek-educational-state-forest-passerina-caerulea,turnbull-creek-educational-state-forest,Blue Grosbeak,Passerina caerulea,passerina-caerulea,4,5,2,0,4520,1763,491
turnbull-creek-educational-state-forest-passerina-cyanea,turnbull-creek-educational-state-forest,Indigo Bunting,Passerina cyanea,passerina-cyanea,4,5,2,0,4520,1765,493
turnbull-creek-educational-state-forest-phalacrocorax-auritus,turnbull-creek-educational-state-forest,Double-crested Cormorant,Phalacrocorax auritus,phalacrocorax-auritus,2,2,2,3,2223,209,131
turnbull-creek-educational-state-forest-pheucticus-ludovicianus,turnbull-creek-educational-state-forest,Rose-breasted Grosbeak,Pheucticus ludovicianus,pheucticus-ludovicianus,3,0,3,0,3030,1759,489
turnbull-creek-educational-state-forest-picoides-borealis,turnbull-creek-educational-state-forest,Red-cockaded Woodpecker,Picoides borealis,picoides-borealis,4,4,4,4,4444,967,360
turnbull-creek-educational-state-forest-picoides-pubescens,turnbull-creek-educational-state-forest,Downy Woodpecker,Picoides pubescens,picoides-pubescens,5,5,5,5,5555,963,358
turnbull-creek-educational-state-forest-picoides-villosus,turnbull-creek-educational-state-forest,Hairy Woodpecker,Picoides villosus,picoides-villosus,4,4,4,4,4444,964,359
turnbull-creek-educational-state-forest-pipilo-erythrophthalmus,turnbull-creek-educational-state-forest,Eastern Towhee,Pipilo erythrophthalmus,pipilo-erythrophthalmus,5,5,5,5,5555,1689,498
turnbull-creek-educational-state-forest-piranga-olivacea,turnbull-creek-educational-state-forest,Scarlet Tanager,Piranga olivacea,piranga-olivacea,3,0,3,0,3030,1956,486
turnbull-creek-educational-state-forest-piranga-rubra,turnbull-creek-educational-state-forest,Summer Tanager,Piranga rubra,piranga-rubra,4,5,2,0,4520,1955,485
turnbull-creek-educational-state-forest-podilymbus-podiceps,turnbull-creek-educational-state-forest,Pied-billed Grebe,Podilymbus podiceps,podilymbus-podiceps,2,3,2,4,2324,138,100
turnbull-creek-educational-state-forest-poecile-carolinensis,turnbull-creek-educational-state-forest,Carolina Chickadee,Poecile carolinensis,poecile-carolinensis,5,5,5,5,5555,1333,396
turnbull-creek-educational-state-forest-polioptila-caerulea,turnbull-creek-educational-state-forest,Blue-gray Gnatcatcher,Polioptila caerulea,polioptila-caerulea,5,5,2,1,5521,2010,411
turnbull-creek-educational-state-forest-progne-subis,turnbull-creek-educational-state-forest,Purple Martin,Progne subis,progne-subis,5,5,3,0,5530,1311,383
turnbull-creek-educational-state-forest-protonotaria-citrea,turnbull-creek-educational-state-forest,Prothonotary Warbler,Protonotaria citrea,protonotaria-citrea,4,5,3,0,4530,1577,471
turnbull-creek-educational-state-forest-quiscalus-quiscula,turnbull-creek-educational-state-forest,Common Grackle,Quiscalus quiscula,quiscalus-quiscula,5,5,5,5,5555,1786,536
turnbull-creek-educational-state-forest-regulus-calendula,turnbull-creek-educational-state-forest,Ruby-crowned Kinglet,Regulus calendula,regulus-calendula,4,0,4,5,4045,1403,410
turnbull-creek-educational-state-forest-regulus-satrapa,turnbull-creek-educational-state-forest,Golden-crowned Kinglet,Regulus satrapa,regulus-satrapa,2,0,4,5,2045,1402,409
turnbull-creek-educational-state-forest-riparia-riparia,turnbull-creek-educational-state-forest,Bank Swallow,Riparia riparia,riparia-riparia,3,3,3,0,3330,1328,386
turnbull-creek-educational-state-forest-sayornis-phoebe,turnbull-creek-educational-state-forest,Eastern Phoebe,Sayornis phoebe,sayornis-phoebe,4,0,4,5,4045,1154,371
turnbull-creek-educational-state-forest-scolopax-minor,turnbull-creek-educational-state-forest,American Woodcock,Scolopax minor,scolopax-minor,3,1,3,2,3132,456,272
turnbull-creek-educational-state-forest-seiurus-aurocapilla,turnbull-creek-educational-state-forest,Ovenbird,Seiurus aurocapilla,seiurus-aurocapilla,2,2,3,0,2230,1580,474
turnbull-creek-educational-state-forest-parkesia-noveboracensis,turnbull-creek-educational-state-forest,Northern Waterthrush,Parkesia noveboracensis,parkesia-noveboracensis,3,3,2,0,3320,1581,475
turnbull-creek-educational-state-forest-setophaga-ruticilla,turnbull-creek-educational-state-forest,American Redstart,Setophaga ruticilla,setophaga-ruticilla,3,2,4,0,3240,1576,470
turnbull-creek-educational-state-forest-sialia-sialis,turnbull-creek-educational-state-forest,Eastern Bluebird,Sialia sialis,sialia-sialis,5,5,5,5,5555,1428,413
turnbull-creek-educational-state-forest-sitta-canadensis,turnbull-creek-educational-state-forest,Red-breasted Nuthatch,Sitta canadensis,sitta-canadensis,3,0,3,3,3033,1347,398
