siteID,regionID,name,note,url,picture
165,2,Kerr Lake State Recreation Area - Nutbush,NULL,NULL,NULL
166,2,Kerr Lake State Recreation Area - Satterwhite Point,NULL,NULL,NULL
167,2,Lake Benson Park,NULL,NULL,NULL
168,2,Lake Crabtree County Park,NULL,NULL,NULL
169,2,Lake Johnson,NULL,NULL,NULL
170,2,Lake Reidsville Recreation Park,NULL,NULL,NULL
171,2,Lake Wheeler,NULL,NULL,NULL
172,2,Little River Regional Park,NULL,NULL,NULL
173,2,Lower McAlpine and McMullen Creek Greenways,NULL,NULL,NULL
174,2,Lumber River State Park - Chalk Banks,NULL,NULL,NULL
175,2,Mallard Creek and Clark\'s Creek Greenways,NULL,NULL,NULL
176,2,Mason Farm Biological Reserve,NULL,NULL,NULL
177,2,McAlpine Creek and Campbell Creek Greenways,NULL,NULL,NULL
178,2,Medoc Mountain State Park,NULL,NULL,NULL
179,2,Miller Park,NULL,NULL,NULL
180,2,Morrow Mountain State Park,NULL,NULL,NULL
181,2,Newell Farms,NULL,NULL,NULL
182,2,North Carolina Zoological Park,NULL,NULL,NULL
183,2,Occoneechee Mountain State Natural Area,NULL,NULL,NULL
184,2,Pee Dee National Wildlife Refuge,NULL,NULL,NULL
185,2,Pee Dee River Game Land - Blewett Falls,NULL,NULL,NULL
186,2,Piedmont Environmental Center of High Point,NULL,NULL,NULL
187,2,Pilot Mountain State Park,NULL,NULL,NULL
188,2,Prairie Ridge Ecostation for Wildlife and Learning,NULL,NULL,NULL
189,2,Raft Swamp Farms,NULL,NULL,NULL
190,2,Raven Rock State Park,NULL,NULL,NULL
191,2,Reedy Creek Nature Preserve,NULL,NULL,NULL
192,2,Reynolda Gardens,NULL,NULL,NULL
193,2,Salem Lake & Greenway and Civitan Park,NULL,NULL,NULL
194,2,Sandhills Game Land,NULL,NULL,NULL
195,2,San-Lee Environmental Education and Recreation Park,NULL,NULL,NULL
196,2,Schenck Forest,NULL,NULL,NULL
197,2,Swift Creek Bluffs,NULL,NULL,NULL
198,2,Tanglewood Park & Arboretum,NULL,NULL,NULL
199,2,Town Creek Indian Mound,NULL,NULL,NULL
200,2,Uwharrie National Forest - Badin Lake Recreation Area,NULL,NULL,NULL
201,2,Uwharrie National Forest - Birkhead Mountain Wilderness,NULL,NULL,NULL
202,2,Uwharrie National Forest - Densons Creek Nature Trail,NULL,NULL,NULL
203,2,Uwharrie National Forest - Uwharrie Trail,NULL,NULL,NULL
204,2,Weymouth Woods Sandhills Nature Preserve,NULL,NULL,NULL
205,3,Bakers Mountain Park,NULL,NULL,NULL
206,3,Glenn C Hilton Jr Memorial Park,NULL,NULL,NULL
207,3,Hickory City Park-Geitner Park Greenway,NULL,NULL,NULL
208,3,Lakeside Park,NULL,NULL,NULL
209,3,Riverbend Park,NULL,NULL,NULL
210,3,Black Mountains,NULL,NULL,NULL
211,3,Bull Creek,NULL,NULL,NULL
212,3,Charles D. Owen Park,NULL,NULL,NULL
213,3,Crabtree Meadows,NULL,NULL,NULL
214,3,Craggy Gardens,NULL,NULL,NULL
215,3,Historic Orchard at Altapass,NULL,NULL,NULL
216,3,,NULL,NULL,NULL
217,3,Mount Mitchell State Park,NULL,NULL,NULL
218,3,Ridge Junction Overlook,NULL,NULL,NULL
219,3,Catawba River and Freedom Trail Greenways,NULL,NULL,NULL
220,3,Cottages at Spring House Farm,NULL,NULL,NULL
221,3,Inn on Mill Creek,NULL,NULL,NULL
222,3,Lake James State Park,NULL,NULL,NULL
223,3,Mount Ida Nature Preserve,NULL,NULL,NULL
224,3,Mountain Gateway Museum,NULL,NULL,NULL
225,3,South Mountains Game Land,NULL,NULL,NULL
226,3,South Mountains State Park,NULL,NULL,NULL
227,3,Ferguson Fields,NULL,NULL,NULL
228,3,Mingo Falls,NULL,NULL,NULL
229,3,Oconaluftee Indian Village Botanical Garden,NULL,NULL,NULL
230,3,Oconaluftee Island Park,NULL,NULL,NULL
231,3,Oconaluftee Visitor Center,NULL,NULL,NULL
232,3,Riverwalk at Riverbend,NULL,NULL,NULL
233,3,Broad River Greenway,NULL,NULL,NULL
234,3,Crowders Mountain State Park,NULL,NULL,NULL
235,3,Beaver Lake Bird Sanctuary,NULL,NULL,NULL
236,3,Biltmore Estate,NULL,NULL,NULL
237,3,Carl Sandburg Home National Historic Site,NULL,NULL,NULL
238,3,French Broad River Greenway,NULL,NULL,NULL
239,3,Jackson Park,NULL,NULL,NULL
240,3,North Carolina Arboretum,NULL,NULL,NULL
241,3,North Mills River,NULL,NULL,NULL
242,3,Sandy Mush Game Land,NULL,NULL,NULL
243,3,Carolina Raptor Center,NULL,NULL,NULL
244,3,Cowans Ford Wildlife Refuge,NULL,NULL,NULL
245,3,Lake Norman State Park,NULL,NULL,NULL
246,3,Latta Plantation Nature Preserve,NULL,NULL,NULL
247,3,McDowell Nature Preserve,NULL,NULL,NULL
248,3,Grandfather Mountain,NULL,NULL,NULL
249,3,Julian Price Memorial Park,NULL,NULL,NULL
