spp_slug,commonName,scientificName,aou,bnc
fulmarus-glacialis,Northern Fulmar,Fulmarus glacialis,1983,107
gallinago-delicata,Wilson's Snipe,Gallinago delicata,452,271
gallinula-galeata,Common Gallinule,Gallinula galeata,357,224
gavia-immer,Common Loon,Gavia immer,136,98
gavia-pacifica,Pacific Loon,Gavia pacifica,135,99
gavia-stellata,Red-throated Loon,Gavia stellata,134,97
gelochelidon-nilotica,Gull-billed Tern,Gelochelidon nilotica,494,298
geothlypis-trichas,Common Yellowthroat,Geothlypis trichas,1587,480
grus-canadensis,Sandhill Crane,Grus canadensis,365,227
haematopus-palliatus,American Oystercatcher,Haematopus palliatus,388,236
haliaeetus-leucocephalus,Bald Eagle,Haliaeetus leucocephalus,270,198
helmitheros-vermivorum,Worm-eating Warbler,Helmitheros vermivorum,1578,472
himantopus-mexicanus,Black-necked Stilt,Himantopus mexicanus,391,237
hirundo-rustica,Barn Swallow,Hirundo rustica,1331,389
histrionicus-histrionicus,Harlequin Duck,Histrionicus histrionicus,61,181
hydrobates-pelagicus,European Storm-Petrel,Hydrobates pelagicus,182,12212
hydroprogne-caspia,Caspian Tern,Hydroprogne caspia,495,299
hylocichla-mustelina,Wood Thrush,Hylocichla mustelina,1455,420
icteria-virens,Yellow-breasted Chat,Icteria virens,1618,484
icterus-galbula,Baltimore Oriole,Icterus galbula,1817,540
icterus-spurius,Orchard Oriole,Icterus spurius,1804,539
ictinia-mississippiensis,Mississippi Kite,Ictinia mississippiensis,2038,197
ixobrychus-exilis,Least Bittern,Ixobrychus exilis,220,135
junco-hyemalis,Dark-eyed Junco,Junco hyemalis,1730,523
lanius-excubitor,Northern Shrike,Lanius excubitor,1231,430
lanius-ludovicianus,Loggerhead Shrike,Lanius ludovicianus,1230,431
larus-argentatus,Herring Gull,Larus argentatus,467,289
leucophaeus-atricilla,Laughing Gull,Leucophaeus atricilla,1990,281
larus-michahellis,Yellow-legged Gull,Larus michahellis,468,290
larus-californicus,California Gull,Larus californicus,466,288
larus-canus,Mew Gull,Larus canus,464,286
larus-crassirostris,Black-tailed Gull,Larus crassirostris,463,12216
larus-delawarensis,Ring-billed Gull,Larus delawarensis,465,287
larus-fuscus,Lesser Black-backed Gull,Larus fuscus,471,293
larus-glaucoides,Iceland Gull,Larus glaucoides,470,292
larus-hyperboreus,Glaucous Gull,Larus hyperboreus,476,294
larus-marinus,Great Black-backed Gull,Larus marinus,477,295
hydrocoloeus-minutus,Little Gull,Hydrocoloeus minutus,461,283
chroicocephalus-philadelphia,Bonaparte's Gull,Chroicocephalus philadelphia,1993,285
leucophaeus-pipixcan,Franklin's Gull,Leucophaeus pipixcan,479,282
chroicocephalus-ridibundus,Black-headed Gull,Chroicocephalus ridibundus,1994,284
larus-schistisagus,Slaty-backed Gull,Larus schistisagus,472,12217
