scientificName,commonName,spp_slug,aou,bnc
Fulmarus glacialis,Northern Fulmar,fulmarus-glacialis,1983,107
Gallinago delicata,Wilson's Snipe,gallinago-delicata,452,271
Gallinula galeata,Common Gallinule,gallinula-galeata,357,224
Gavia immer,Common Loon,gavia-immer,136,98
Gavia pacifica,Pacific Loon,gavia-pacifica,135,99
Gavia stellata,Red-throated Loon,gavia-stellata,134,97
Gelochelidon nilotica,Gull-billed Tern,gelochelidon-nilotica,494,298
Geothlypis trichas,Common Yellowthroat,geothlypis-trichas,1587,480
Grus canadensis,Sandhill Crane,grus-canadensis,365,227
Haematopus palliatus,American Oystercatcher,haematopus-palliatus,388,236
Haliaeetus leucocephalus,Bald Eagle,haliaeetus-leucocephalus,270,198
Helmitheros vermivorum,Worm-eating Warbler,helmitheros-vermivorum,1578,472
Himantopus mexicanus,Black-necked Stilt,himantopus-mexicanus,391,237
Hirundo rustica,Barn Swallow,hirundo-rustica,1331,389
Histrionicus histrionicus,Harlequin Duck,histrionicus-histrionicus,61,181
Hydrobates pelagicus,European Storm-Petrel,hydrobates-pelagicus,182,12212
Hydroprogne caspia,Caspian Tern,hydroprogne-caspia,495,299
Hylocichla mustelina,Wood Thrush,hylocichla-mustelina,1455,420
Icteria virens,Yellow-breasted Chat,icteria-virens,1618,484
Icterus galbula,Baltimore Oriole,icterus-galbula,1817,540
Icterus spurius,Orchard Oriole,icterus-spurius,1804,539
Ictinia mississippiensis,Mississippi Kite,ictinia-mississippiensis,2038,197
Ixobrychus exilis,Least Bittern,ixobrychus-exilis,220,135
Junco hyemalis,Dark-eyed Junco,junco-hyemalis,1730,523
Lanius excubitor,Northern Shrike,lanius-excubitor,1231,430
Lanius ludovicianus,Loggerhead Shrike,lanius-ludovicianus,1230,431
Larus argentatus,Herring Gull,larus-argentatus,467,289
Leucophaeus atricilla,Laughing Gull,leucophaeus-atricilla,1990,281
Larus michahellis,Yellow-legged Gull,larus-michahellis,468,290
Larus californicus,California Gull,larus-californicus,466,288
Larus canus,Mew Gull,larus-canus,464,286
Larus crassirostris,Black-tailed Gull,larus-crassirostris,463,12216
Larus delawarensis,Ring-billed Gull,larus-delawarensis,465,287
Larus fuscus,Lesser Black-backed Gull,larus-fuscus,471,293
Larus glaucoides,Iceland Gull,larus-glaucoides,470,292
Larus hyperboreus,Glaucous Gull,larus-hyperboreus,476,294
Larus marinus,Great Black-backed Gull,larus-marinus,477,295
Hydrocoloeus minutus,Little Gull,hydrocoloeus-minutus,461,283
Chroicocephalus philadelphia,Bonaparte's Gull,chroicocephalus-philadelphia,1993,285
Leucophaeus pipixcan,Franklin's Gull,leucophaeus-pipixcan,479,282
Chroicocephalus ridibundus,Black-headed Gull,chroicocephalus-ridibundus,1994,284
Larus schistisagus,Slaty-backed Gull,larus-schistisagus,472,12217
